ax,ay,az
16,-263,-100
-312,3
11,-262,-103
-307,34
92,-276,-28
12,-289,52
54,-265,-82
68,-288,52
-379
53,-290,55
-359
91,-275,-27
43,-293,57
-365
43,-293,54
-344
87,-273,-49
63,-290,54
-380
49,-292,56
-381
64,-289,56
17,-264,-98
77,-284,42
-367
86,-282,24
-386
60,-289,54
-365
90,-282,12
-295,45
60,-268,-80
-311,31
-385
60,-289,54
-371
94,-273,-21
-374
88,-280,13
2,-290,47
43,-265,-89
85,-284,23
-382
84,-283,25
-314,28
91,-272,-38
32,-292,55
35,-265,-92
-292,43
-389
79,-284,39
-311,29
76,-263,-68
-331,13
-372
44,-293,56
12,-263,-100
93,-277,-6
-378
41,-267,-90
-327,15
95,-280,-4
-317,26
91,-280,9
-364
64,-290,58
71,-266,-73
3,-289,50
95,-277,-6
-343,4
72,-287,54
48,-267,-88
21,-294,55
97,-274,-22
-342,1
67,-287,53
-386
45,-292,58
61,-267,-81
39,-294,57
45,-265,-88
62,-291,56
9,-261,-100
23,-292,53
-378
89,-281,12
1,-289,46
55,-267,-82
-315,27
-377
48,-292,55
-344
84,-268,-54
-303,34
-382
95,-278,-5
41,-293,55
-374
60,-288,54
-334,8
79,-265,-61
70,-288,50
-378
41,-294,56
-386
60,-289,56
-375
79,-283,33
-386
69,-269,-72
-301,38
-387
87,-283,15
-377
89,-281,1
22,-290,54
23,-264,-98
87,-280,12
-383
81,-282,29
1,-289,45
49,-265,-88
69,-287,51
-370
13,-288,53
-381
18,-291,53
-378
1,-289,49
96,-275,-5
-343
74,-284,49
-380
48,-292,57
64,-263,-79
30,-293,57
80,-266,-63
4,-289,51
96,-273,-13
-377
65,-289,56
60,-265,-84
27,-293,56
72,-266,-68
-367
46,-265,-88
-331,14
93,-273,-19
25,-292,55
17,-263,-96
91,-275,-29
-329,16
-386
94,-274,-7
-326,14
48,-265,-84
87,-281,13
-381
34,-264,-92
7,-287,50
44,-266,-88
84,-283,22
-383
40,-264,-91
1,-289,47
55,-263,-82
64,-290,53
-366
91,-280,-2
-383
82,-282,28
-305,36
73,-267,-68
55,-288,55
20,-264,-99
-303,36
-382
34,-294,55
-385
61,-291,55
-376
62,-289,53
16,-263,-96
78,-282,34
-378
95,-274,-17
-389
53,-290,57
-378
76,-285,43
-331,8
95,-277,-7
-387
59,-291,56
-374
78,-284,36
-325,15
92,-273,-19
-390
88,-271,-45
-374
64,-266,-75
-341
88,-280,2
-309,34
92,-274,-29
7,-289,50
76,-265,-67
42,-294,54
34,-263,-92
-318,25
-368
6,-290,48
-382
20,-292,53
73,-264,-69
35,-294,55
51,-265,-86
51,-290,56
34,-263,-95
-319,24
16,-264,-100
-325,15
54,-266,-86
-373
52,-290,55
-386
48,-290,55
-380
62,-290,55
5,-263,-104
88,-282,14
-391
63,-290,52
-330,5
90,-274,-27
-375
60,-264,-81
-333,5
25,-262,-97
-309,32
90,-271,-37
16,-289,51
81,-267,-61
17,-291,49
88,-268,-50
-395
89,-281,6
3,-264,-104
58,-291,56
62,-266,-81
-378
93,-272,-36
-392
88,-282,11
-373
-308,35
33,-262,-96
-358
71,-266,-71
-367
70,-287,49
-364
78,-283,37
-339
85,-285,24
-369
76,-285,42
20,-264,-98
58,-291,53
40,-266,-92
52,-290,53
35,-264,-93
-321,19
90,-280,1
-317,24
88,-283,14
-339
81,-282,32
-369
84,-284,24
-379
96,-276,-8
-387
51,-289,54
-390
14,-290,52
11,-264,-103
-335,3
76,-286,44
-376
54,-289,56
-392
22,-293,51
86,-266,-55
7,-288,48
92,-272,-39
-304,39
87,-279,6
-366
62,-293,55
76,-264,-70
-300,42
90,-280,0
-386
88,-282,10
-376
79,-284,34
-368
-297,44
-371
8,-287,50
-390
30,-293,53
70,-266,-73
38,-294,54
45,-265,-89
-322,18
9,-263,-103
-300,42
-376
17,-287,50
72,-264,-70
44,-294,56
44,-265,-90
56,-291,56
43,-266,-93
53,-290,57
52,-266,-86
-371
76,-265,-68
-383
92,-275,-28
-391
13,-289,51
-376
-306,34
23,-265,-100
-331,1
86,-284,21
-340,5
85,-283,21
-351
72,-286,47
38,-265,-94
40,-294,57
77,-266,-68
12,-290,51
94,-272,-34
-390
95,-273,-19
-386
89,-280,-1
-386
88,-281,3
-378
84,-283,24
-371
-293,45
-369
-295,44
-367
-296,43
96,-275,-28
-304,36
92,-280,-1
-336,7
78,-284,41
-377
52,-290,54
39,-266,-93
71,-286,47
-377
94,-278,-5
-388
65,-289,51
-367
88,-284,17
-298,43
62,-265,-80
-315,25
-367
1,-289,48
-373
-302,38
20,-266,-101
-337,3
82,-283,28
-332,5
88,-279,-1
-315,29
90,-281,12
2,-264,-104
58,-291,56
73,-266,-74
-386
91,-281,1
12,-263,-105
39,-293,57
94,-269,-42
-394
89,-285,18
-370
74,-287,49
26,-263,-98
52,-290,56
62,-265,-81
-369
65,-264,-79
-364
62,-265,-83
-368
74,-286,47
-380
49,-291,56
-389
-308,37
79,-284,38
-386
21,-293,53
7,-263,-104
-340
63,-290,55
-395
11,-289,52
19,-266,-100
-370
31,-294,58
13,-263,-105
-374
91,-279,1
29,-261,-96
-391
77,-285,45
81,-265,-65
-388
66,-290,54
76,-263,-70
-303,42
86,-284,24
37,-265,-93
15,-288,53
90,-281,11
-386
0,-288,50
45,-265,-90
-385
12,-288,55
30,-262,-97
-385
90,-285,20
47,-265,-91
-389
85,-284,25
48,-266,-90
-294,48
78,-284,36
61,-265,-82
-294,48
89,-284,20
-382
16,-288,52
